player_id;player_name;age;country;height_cm;weight_lbs;position;overall;potential;Value_millions;pref_foot;weak_foot;skill_moves;international_reputation;Attacking_work_rate;Defensive_work_rate;body_type;club_country;club_name;club_overall
231747;Kylian Mbappé Lottin;23;France;182;161;ST;91;95;190,5;Right;4;5;4;High; Low;Unique;France;Paris Saint Germain;84
192985;Kevin De Bruyne;31;Belgium;181;165;CM;91;91;107,5;Right;5;4;4;High; Medium;Unique;England;Manchester City;85
188545;Robert Lewandowski;33;Poland;185;179;ST;91;91;84;Right;4;4;5;High; Medium;Unique;Spain;Fc Barcelona;83
165153;Karim Benzema;34;France;185;179;CF;91;91;64;Right;4;4;4;Medium; Medium;Normal (170-185);Spain;Real Madrid;85
158023;Lionel Andrés Messi Cuccittini;35;Argentina;169;148;RW;91;91;54;Left;4;4;5;Low; Low;Unique;France;Paris Saint Germain;84
239085;Erling Braut Haaland;21;Norway;195;207;ST;89;94;160;Left;3;3;4;High; Medium;Unique;England;Manchester City;85
192119;Thibaut Nicolas Marc Courtois;30;Belgium;199;212;GK;90;91;90;Left;3;1;4;Medium; Medium;Unique;Spain;Real Madrid;85
212831;Alisson Ramsés Becker;29;Brazil;193;201;GK;89;90;79;Right;3;1;3;Medium; Medium;Unique;England;Liverpool;84
212622;Joshua Walter Kimmich;27;Germany;177;165;CDM;89;90;105,5;Right;4;3;4;High; Medium;Normal (170-185);Germany;Fc Bayern München;85
209331;Mohamed Salah Ghaly;30;Egypt;175;157;RW;89;89;99,5;Left;3;4;4;High; Medium;Unique;England;Liverpool;84
202126;Harry Kane;28;England;188;196;ST;89;89;105,5;Right;5;3;4;High; High;Unique;England;Tottenham Hotspur;82
200389;Jan Oblak;29;Slovenia;188;192;GK;89;90;79;Right;3;1;5;Medium; Medium;Unique;Spain;Atlético Madrid;83
200145;Carlos Henrique Venancio Casimiro;30;Brazil;185;185;CDM;89;89;86;Right;3;2;3;Medium; High;Unique;England;Manchester United;82
190871;Neymar da Silva Santos Júnior;30;Brazil;175;150;LW;89;89;99,5;Right;5;5;5;High; Medium;Unique;France;Paris Saint Germain;84
167495;Manuel Peter Neuer;36;Germany;193;205;GK;89;89;11,5;Right;4;1;5;Medium; Medium;Unique;Germany;Fc Bayern München;85
239818;Rúben dos Santos Gato Alves Dias;25;Portugal;187;181;CB;88;91;107,5;Right;4;2;3;Medium; High;Normal (185+);England;Manchester City;85
230621;Gianluigi Donnarumma;23;Italy;196;198;GK;88;92;103,5;Right;3;1;3;Medium; Medium;Unique;France;Paris Saint Germain;84
